county,nearest_town,town_size,landcover_types,elevation_m,dist_to_town_m,dist_to_water_m,topographic_hazard,landcover_risk,water_proximity_risk,vulnerability_score,flood_risk_score,risk_category
Migori,Mohoni,Town,waterbodies,1134.0,14191.648756204013,9891733.958223425,0.0,9.0,0,0.0,2.2,Low
Migori,Mohoni,Town,waterbodies,1134.0,16419.789667220586,9898061.839375585,0.0,9.0,0,0.0,2.2,Low
Migori,Nyatembe,Town,waterbodies,1134.0,18365.75292814,9904389.72067961,0.0,9.0,0,0.0,2.2,Low
Migori,Nyandhiwa,Town,waterbodies,1134.0,13839.2920525675,9910717.602135208,0.0,9.0,0,0.0,2.2,Low
Homa Bay,Nyandhiwa,Town,waterbodies,1134.0,10562.446387963313,9917045.483742088,0.0,9.0,0,0.0,2.2,Low
Homa Bay,Nyandhiwa,Town,waterbodies,1134.0,10568.429915599598,9923373.365499964,0.0,9.0,0,0.0,2.2,Low
Homa Bay,Nyandhiwa,Town,waterbodies,1134.0,13852.989426953367,9929701.247408545,0.0,9.0,0,0.0,2.2,Low
Homa Bay,Roo,Town,waterbodies,1134.0,18699.79381016924,9936029.129467543,0.0,9.0,0,0.0,2.2,Low
Homa Bay,Roo,Town,waterbodies,1134.0,18698.44843519957,9942357.011676671,0.0,9.0,0,0.0,2.2,Low
Homa Bay,Roo,Town,unknown,1255.0,20728.454530543047,9948684.894035641,0.0,0.0,0,0.0,0.0,Low
Homa Bay,Roo,Town,waterbodies,1134.0,24285.651083834753,9955012.77654417,0.0,9.0,0,0.0,2.2,Low
Homa Bay,Mbita,Town,waterbodies,1134.0,26538.467420485336,9961340.659201974,0.0,9.0,0,0.0,2.2,Low
Siaya,Usenge,Town,waterbodies,1134.0,28545.98108115153,9967668.542008765,0.0,9.0,0,0.0,2.2,Low
Siaya,Usenge,Town,waterbodies,1134.0,10341.59972515009,9992980.074720155,0.0,9.0,0,0.0,2.2,Low
Busia,Usenge,Town,waterbodies,1134.0,11409.8868146299,9999307.95826765,0.0,9.0,0,0.0,2.2,Low
Busia,Bukangasi,Town,waterbodies,1134.0,8032.242386460374,10005635.841962444,0.0,9.0,0,1.5,2.6,Low
Busia,Bukangasi,Town,waterbodies,1134.0,6421.483587585323,10011963.725804254,0.0,9.0,0,1.5,2.6,Low
Busia,Mundere,Town,waterbodies,1134.0,5650.037924112923,10018291.609792806,0.0,9.0,0,1.5,2.6,Low
Migori,Mohoni,Town,waterbodies,1134.0,8003.668688290194,9891697.186805986,0.0,9.0,0,1.5,2.6,Low
Migori,Mohoni,Town,waterbodies,1134.0,11500.66566630879,9898025.091466388,0.0,9.0,0,0.0,2.2,Low
Migori,Nyatembe,Town,waterbodies,1134.0,13948.285365144466,9904352.996248614,0.0,9.0,0,0.0,2.2,Low
Migori,Nyatembe,Town,waterbodies,1134.0,9540.418317448906,9910680.901152436,0.0,9.0,0,1.5,2.6,Low
